91,3,38,0
66,24,89,0
48,68,60,0
38,86,54,0
86,12,36,0
25,65,22,0
45,65,0,0
87,82,17,0
34,38,32,0
100,20,37,0
29,68,91,0
68,34,55,0
92,4,32,0
93,19,18,0
85,82,100,0
73,75,48,0
1,17,44,0
32,73,89,0
37,35,50,0
35,17,67,0
26,8,28,0
44,11,78,0
70,3,5,0
89,24,91,0
84,56,56,0
94,18,22,0
3,43,33,0
48,84,99,0
2,77,71,0
47,43,62,0
44,60,42,0
45,93,56,0
43,61,25,0
90,58,44,0
79,94,70,0
13,60,7,0
90,69,81,0
44,10,54,0
99,34,61,0
11,48,18,0
77,40,27,0
67,88,63,0
15,23,100,0
29,92,100,0
17,69,7,0
90,16,67,0
79,77,0,0
45,73,27,0
12,62,20,0
12,61,78,0
76,19,56,0
32,85,43,0
56,43,18,0
90,89,37,0
35,39,84,0
1,30,95,0
54,39,6,0
53,32,13,0
73,9,44,0
56,99,79,0
51,17,87,0
42,85,89,0
26,52,33,0
34,58,85,0
40,41,43,0
27,88,1,0
1,93,80,0
9,38,85,0
57,51,41,0
51,44,12,0
49,84,74,0
17,76,86,0
9,11,66,0
59,33,57,0
